Cajari (MA);13066;12855;12600;12064;11768;11474;13203;13170;18473;18603;18751;18850;18943;19030;19110;19307;19379
Campestre do Maranhão (MA);11799;12016;12246;12728;12995;13260;12615;12716;13511;13649;13808;13921;14028;14127;14219;14294;14374
Cândido Mendes (MA);16826;17730;18271;19405;20033;20656;19409;19684;19046;19222;19426;19567;19702;19827;19943;20076;20178
Cantanhede (MA);17530;17665;17696;17762;17798;17834;19396;19564;20667;20879;21125;21299;21464;21617;21759;21872;21995
Capinzal do Norte (MA);10544;10605;10634;10694;10727;10760;10683;10688;10710;10722;10729;10725;10720;10716;10713;10932;10934
Carolina (MA);23877;23849;23783;23645;23569;23493;25159;25257;23957;23955;23939;23902;23866;23833;23803;24337;24322
Carutapera (MA);18964;19201;19468;20030;20341;20650;20905;21121;22266;22517;22811;23021;23219;23404;23576;23658;23807
Caxias (MA);140450;141074;141686;142971;143682;144387;147416;148072;156327;158059;159396;160291;161137;161926;162657;164224;164880
Cedral (MA);9988;10139;10299;10636;10823;11008;10127;10152;10336;10374;10414;10435;10455;10473;10490;10657;10675
Central do Maranhão (MA);7453;7645;7858;8305;8553;8799;9062;9246;8006;8120;8255;8354;8447;8534;8615;8604;8673
Centro do Guilherme (MA);6339;6408;6527;6777;6915;7052;7318;7432;11632;11979;12395;12713;13015;13295;13555;13243;13458
Centro Novo do Maranhão (MA);14863;15098;15350;15880;16173;16464;15577;15668;19581;19947;20382;20707;21013;21300;21565;21399;21622
Chapadinha (MA);61817;62260;62696;63610;64116;64618;69734;70537;74274;75167;76217;76972;77684;78348;78965;79145;79675
Cidelândia (MA);11908;11974;12047;12201;12287;12371;12778;12866;13825;13963;14125;14238;14346;14446;14539;14617;14697
Codó (MA);111587;112271;112793;113889;114496;115098;113768;113937;118568;119079;119641;119962;120265;120548;120810;122597;122859
Coelho Neto (MA);42511;42749;42998;43520;43808;44095;45343;45624;47099;47435;47821;48078;48320;48546;48756;49246;49435
Colinas (MA);36600;37236;37901;39297;40070;40836;36725;36787;39388;39635;39915;40097;40268;40427;40575;41042;41178
Conceição do Lago-Açu (MA);10547;10400;10226;9861;9659;9459;14535;14909;14718;14989;15313;15554;15782;15995;16192;16072;16237
Coroatá (MA);56496;57087;57742;59116;59877;60632;62442;63081;62190;62639;63154;63497;63821;64123;64403;65044;65296
Cururupu (MA);34722;35535;36366;38108;39072;40029;35009;35108;32568;32487;31149;31027;30913;30805;30706;32765;32695
Davinópolis (MA);12183;12117;12044;11890;11805;11721;12118;12091;12603;12625;12646;12650;12653;12656;12659;12901;12908
Dom Pedro (MA);22022;22425;22643;23100;23353;23604;22092;22086;22737;22791;22844;22863;22881;22897;22912;23328;23350
